,userID,tag,content,date,year,label
0,daydreamer13,→,建築物蓋到一半會要追加兩倍以上預,07/23,2022.0,0
1,ezafine,噓,噁心,05/11,2022.0,0
2,CycleEnergy,推,太重的瘦皮猴會舉不起來,11/29,2021.0,2
3,Sam717,推,嬯婊一堆肥婆,06/06,2022.0,1
4,vajra0001,推,沒奶的妹子 就沒商量,03/17,2022.0,2
5,ecchi,→,寫歌和寫作是兩回事,12/27,2021.0,0
6,milk517258,推,胖子可以變瘦 矮要變高就難了,01/31,2022.0,1
7,yw1002,→,藍的已經麻痺了吧 死豬不怕滾水燙,12/23,2021.0,0
8,kt40,→,157肥肚你想看喔,05/04,2022.0,1
9,Howard61313,→,感會比較大呢,03/09,2022.0,0
10,beaukevin,推,印度男人到底有什麼問題,04/16,2022.0,0
11,toshizo,→,安檢是肥缺嗎？,12/16,2022.0,0
12,StylishTrade,推,已經分裂啦 還好有老蔣 把他統一了,05/18,2022.0,0
13,cms6384,推,沒奶 沒腿,09/13,2021.0,2
14,alex00089,→,竹竿身材,12/11,2021.0,2
15,marknm,→,完蛋...500萬,08/18,2022.0,0
16,ChikanDesu,→,了,12/05,2022.0,0
17,pytzog,推,肥婆會怕了齁,04/07,2022.0,1
18,teleportcat,推,太可愛了吧 那個肥腿 我好了,03/04,2022.0,0
19,kiopl,→,龍妹奶很大你很想看嗎？ 請洽惡魔旅館,05/08,2022.0,1
20,cloud1030,推,台灣就紫卡倉管,12/29,2022.0,0
21,TaiwanKimchi,推,沒奶就算了 連翹臀也沒有,01/08,2022.0,2
22,shazuei,推,當年連軍校都搶破頭 能考上警專算很猛了,02/12,2022.0,0
23,chocopoodle,→,在意個肥婆開條件不知道要幹嘛,01/27,2022.0,1
24,F91,→,爸媽當肥羊花大錢救回台灣 結果被肥婆騙砲,08/08,2022.0,1
25,superyou,推,肥短腿,03/18,2022.0,1
26,howardyeh,→,她由黑變白，蘿蔔腿變鳥仔腳，人家其實,01/26,2022.0,2
27,kuijun228,推,我會 畢竟你不知道哪一次司機沒過勞,11/11,2022.0,0
28,VVizZ,→,沒奶子不可以,09/06,2022.0,2
29,soulivee,推,不給幹處女正妹 vs 榨汁機龍妹才有得比,09/25,2021.0,1
30,fishclamp,推,生老病死，一路好走,11/19,2022.0,0
31,milkBK,推,就那種打不贏瘦皮猴拳手的人啊,04/20,2022.0,2
32,j022015,推,:ＸＤＤＤＤＤＤＤＤＤＤＤＤＤＤＤＤＤＤＤＤＤＤＤＤＤＤ,10/19,2011.0,0
33,peiring,→,脂肪肝跟體重沒一定，我認識好幾個紙片人,01/02,2022.0,2
34,dogmax,噓,:銀正雄寄遺書回家表示厭世自殺家人報警查詢,09/13,2013.0,0
35,HONNE,噓,你去話火節會想找龍妹嗎？同理可証！,04/29,2022.0,1
36,belister,噓,沒奶又沒屁股,07/03,2022.0,2
37,gamma8902,噓,所以之前是在凹什麼,08/09,2022.0,0
38,karpa,→,"要注意你說的是平均,不是娶刁女或龍妹",09/13,2021.0,1
39,lin5656,推,超討厭黃，醜貓胖貓,01/24,2022.0,0
40,eason10,→,人家肥宅至少懂得藏拙，一堆台女肥醜就,01/09,2022.0,1
41,wonder007,推,不然龍妹會常常遇到怪人搭訕嗎,05/31,2022.0,1
42,a114261,推,誰知道肥宅會不會嫖妓 醜又人品差才慘,12/18,2021.0,1
43,fan5566,→,你同學是不是矮矮胖胖的,12/07,2021.0,1
44,SiLlYWanKer,推,都不知道原來阿塵這麼龐大,05/20,2022.0,0
45,Clieff,推,粗暴言論 duck不必,04/10,2022.0,0
46,khalid,→,"是贏了,但也瘦到皮包骨差點DQ,還好最後階",06/20,2022.0,2
47,yakifone,推,內行啊，改開F8F對戰烈風啊,06/20,2022.0,0
48,Murasaki0110,推,肥婆走開 小熊我可以10次,09/03,2022.0,1
49,kid1a2b3c4d,推,這就是偷沒錯啊= =,11/13,2021.0,0
50,King5566,→,鳥仔腳退流行了,09/26,2022.0,2
51,stlevi811101,→,你想臭九妹齁 他那個肥肚,07/10,2022.0,1
52,rasen9,→,就搶著舔了 一堆龍妹也跩個258萬的,10/25,2022.0,1
53,gaba000,推,心機肥婆港女養的吉娃娃,06/13,2022.0,1
54,terrykoc,→,架肌肉對抗力量差太多了,12/11,2022.0,0
55,redcarp0702,推,笑死 硬要開大型施打站 結果其他縣市,06/01,2022.0,0
56,mytoychiu,推,那個水桶腰 別騙我 這隻是豬吧,06/22,2022.0,1
57,EEzionT,推,他沒來你準備娶龍妹  巴結一點,09/24,2021.0,1
58,ufowilliam,→,肥胖 超噁心,03/18,2022.0,1
59,wwvvkai,→,怎麼都沒奶子,10/20,2022.0,2
60,forhorde5566,推,龍妹傳給你的訊息你不讀，也很浪漫?,10/18,2021.0,1
61,BaGaJohn5566,推,科技業啊  一堆醜女都有辦公室肥宅,09/04,2021.0,0
62,gebaho,→,沒奶子,09/11,2021.0,2
63,elwyn,推,扁奶醜女,05/27,2022.0,2
64,seuil,→,瘦皮猴最愛秀腹肌了 體能超弱的一堆,10/24,2021.0,2
65,dtdon1699,→,他沒得篩的出嗎 笑死人,04/30,2022.0,0
66,dsce,推,DPP都很喜歡洗別人是草包,11/29,2022.0,0
67,ssmm5566,推,他有做事嗎？新竹一直塞,07/13,2022.0,0
68,milk830122,推,反觀那個手在抖的,02/16,2022.0,0
69,pswen,→,友，就算很醜的也有男友所以跟肥沒關係吧,07/15,2022.0,1
70,espresso1,推,應該沒人敢送上瘦巴巴的鳥,07/04,2022.0,2
71,eason10,→,(〒︿〒),04/10,2022.0,0
72,JayceYen,→,死肥豬真弱智,08/09,2022.0,1
73,d89413208,推,瘦排骨,09/15,2021.0,2
74,zzyyxx77,→,winamp,01/08,2022.0,0
75,laihom0808,推,劉德華一直都說是中國人，立場又沒變,01/03,2023.0,0
76,eco100,推,紙片人路跑 紙片人烤肉大會 紙片人大胃王比賽 紙片人....,06/04,2015.0,2
77,hide0325,→,這種比較胖 矮 個性溫馴,12/10,2021.0,1
78,achun1212,→,車主應該是8+9瘦皮猴？,03/31,2022.0,2
79,visviva,→,原代理沒去招標？,05/04,2022.0,0
80,JayceYen,推,死肥豬,08/09,2022.0,1
81,OomaybeoO,推,沒奶 給推但沒興趣,02/14,2022.0,2
82,morris,推,側翼真的是藉口 中央執政太爛黑道縱橫,11/27,2022.0,0
83,Joker3,→,你知道全能住宅後來多起官司糾紛嗎?,12/29,2021.0,0
84,cccc1730,推,有瘦皮猴混在裡面了 恥辱啊,05/06,2022.0,2
85,yiyin330,噓,最好是長相普通,04/29,2022.0,0
86,february2,→,國人跟都矮矮瘦瘦扁扁的,07/30,2022.0,2
87,polyasia,→,上的問題,12/23,2021.0,0
88,JustWinslow,→,還互動六個月 笑死 龍妹智商,05/17,2022.0,1
89,koromo1991,→,到底誰會選隻瘦皮猴,09/29,2022.0,2
90,edweepvp,推,腿粗也是有一定行情好嗎 又不是每個都,10/08,2021.0,0
91,iwilltry,推,那江大胖屬實的話也太噁了吧,08/25,2021.0,0
92,gx8759121,→,你可以伸進肥宅的屁股感受一下,09/26,2022.0,1
93,OPWaug,推,狗娘肛門生的國民黨髒蛆跟死肥豬支持者快找理由啊哈哈,09/16,2014.0,1
94,TaiwanUp,→,有些人完全狀況外還可以大言不慚罵蠢蛋,08/07,2022.0,0
95,AustinRivers,推,ee.肥婆....表示,09/20,2022.0,1
96,UGLYLOSERS,推,長得又醜又肥就不會被強姦了,04/28,2022.0,1
97,taboothorn,→,們這些共匪高官在搞事情，只出一張嘴,06/12,2022.0,0
98,owlman,推,是合理啦 紙片人最好拉得住哈士奇,10/27,2021.0,2
99,yuta02,噓,低能兒死肥豬,01/02,2022.0,1
100,leoptt10,推,廢話 肥宅整天幻想結果自己跟醜肥甲一,04/13,2022.0,1
101,yoyoyo916,噓,又是這肥婆,08/17,2022.0,1
102,ASUSboy,噓,看到基進基本上就知道是認知作戰了,01/05,2023.0,0
103,DIVIS,→,去鄉下一堆未成年黑衣瘦皮猴+9成群結隊,12/27,2021.0,2
104,P00832129,噓,這種體重在八卦版是紙片人等級,11/15,2021.0,2
105,TexasFlood,→,沒奶子沒黏著度,07/19,2022.0,2
106,chubby31190,推,那個女演員是誰啊,07/15,2022.0,0
107,benptt,→,肥宅醜鬼,02/28,2022.0,1
108,greedypeople,→,不只有男友  而且又胖又醜又不有錢  超崩潰的,10/27,2015.0,1
109,fransice7,噓,貧乳沒奶子滾,09/17,2022.0,2
110,g29186280,→,續抽我的，沒錢看你能怎樣，科科,11/11,2022.0,0
111,kosuke,→,本板標準 鳥仔腳=身材好,09/05,2021.0,2
112,stratege,噓,很明顯你是想酸海線死胖子大甲豬肥標吧,11/07,2021.0,1
113,ePaper,→,我妹是雙胞胎 36歲了 都是肥婆 你說呢,08/24,2022.0,1
114,jackythere,推,骨頭的形狀都看的到，這太瘦了,01/15,2022.0,2
115,micoun828,推,蝙蝠洞壽山,08/12,2022.0,0
116,snake7222,推,有點希島的感覺，沒奶秀屁股，我十分可,08/17,2022.0,2
117,opfish,推,又肥又胖吃很爽那就是豬仔明,06/01,2022.0,1
118,leotompp,→,韓國小眼睛小鼻子..阿本腿很粗@@,06/03,2022.0,1
119,babyiris,推,這變瘦而已啦，鼻骨有化妝打亮,01/25,2022.0,0
120,HayamaAkito,推,太瘦 那個骨頭撞到不蘇胡,07/04,2022.0,2
121,Linsanity017,推,Q,02/08,2016.0,0
122,purine5566,推,南部人又肥又醜可撥,11/03,2021.0,1
123,yeh67,推,肥婆倒退嚕，路不平，愛河又變臭了,11/01,2016.0,1
124,speann,推,:推,07/20,2013.0,0
125,crimson11,推,想想被龍妹纏上表白的感覺好嗎 能不能,01/02,2022.0,1
126,lifeishit,推,明明就瘦皮猴什麼美臀,10/17,2021.0,2
127,RONC,→,3.0的microusb真的是很搞笑的接口,07/14,2022.0,0
128,Jeff911,噓,朱胖才沒有玩屁眼這種噁心事,10/28,2022.0,1
129,tinghsiao,推,死肥豬沒救了,08/30,2022.0,1
130,O300,推,可以說不正常ㄚ 就像肥宅兒過胖也是不正常,01/01,2022.0,1
131,makki,→,好在半夜在路上走有少數路人但都看起來蠻正,07/17,2022.0,0
132,st86188go,推,疫粉777,01/08,2023.0,0
133,new1974,噓,瘦妹看著舒服，抱著都骨頭，本來就難兩,02/06,2022.0,2
134,johnson44,推,看到瘦皮猴拿球棒，樓上的都會幫忙吧,09/05,2021.0,2
135,YesNoter,噓,肥婆退散,12/16,2021.0,1
136,nbg23456,推,推,09/16,2017.0,0
137,utamaru,推,暖,05/27,2022.0,0
138,x7834210,→,腿粗 用力抱,11/29,2021.0,1
139,johnhmj,→,手 電 筒,01/10,2022.0,0
140,ThunderOKC,噓,投訴的地方肥肚悲憤媽媽身材才不堪入,10/01,2021.0,1
141,kurtsgm,推,比我的腿還粗是怎樣...,12/08,2021.0,1
142,ptt1979,推,catchy,04/04,2022.0,0
143,neverlin,→,加一加最多150w，以上不含螢幕耗電，所,12/14,2021.0,0
144,keria,推,這圖一針見血啊！,07/18,2022.0,0
145,ponchicha,噓,噁心,09/06,2022.0,0
146,juju1019,推,她本身瘦、骨架小，才顯得成員較胖,04/18,2022.0,1
147,vul3vmp4,噓,182/70 這根本排骨精 男人瘦成這樣很難,07/09,2022.0,2
148,KadourZiani,噓,說太瘦會撞到骨頭得是老二太短吧。目,08/12,2022.0,2
149,cheap3c,推,民進黨金主很不方便,06/26,2022.0,0
150,poasdm,噓,:,12/01,2021.0,0
151,yongguo,推,前前女友就是那種瘦的，然後也沒奶，撞久,02/03,2022.0,2
152,OPPAISuki,推,沒奶子炒飯很常見,08/30,2021.0,2
153,rommel1990,推,一丘之貉,03/24,2022.0,0
154,stlevi811101,→,沒奶子就下去洗碗好嗎 幹,06/05,2022.0,2
155,Qoofate,→,媽的 我們這區男的都很瘦 胖妹多是怎樣,12/15,2021.0,1
156,orcadan,→,早期傑尼斯那種瘦排骨也是一樣歸類在精,03/04,2022.0,2
157,noah23,→,你有在看嗎= =,01/23,2022.0,0
158,asole,噓,舔中肥婆滾,11/24,2021.0,1
159,aaa89359,推,我朋友說會痛,01/12,2022.0,0
160,zkowntu,→,然後大陸官方也不希望Jessica奪冠,08/08,2022.0,0
161,crimson11,→,因為肥宅醜啊,02/01,2022.0,1
162,vn506695,推,看過20歲的蔡本人，黑瘦扁，鼻子塌圓臉,08/24,2022.0,2
163,Noobungas,→,瘦巴巴奶這麼大？,02/20,2022.0,2
164,greg7575,推,有的妹沒奶頭的話也沒辦法分正反面,02/07,2022.0,2
165,wuwaiter,→,不太好的含意(尤其是北方的人比較介意，,10/03,2022.0,0
166,yuzukeykusa,→,我們吃很多蚵仔料理,07/12,2022.0,0
167,greg7575,→,扁奶妖怪,04/04,2022.0,2
168,l2272,噓,死肥豬,04/24,2022.0,1
169,wert22823,推,甜不辣手,07/01,2022.0,1
170,allyourshit,噓,死肥婆去減肥,01/24,2022.0,1
171,abccat0520,推,你不能,05/06,2022.0,0
172,peace1way,→,乎都是鳥仔腳，不信妳去國小國中看，大了就不一定了,10/01,2015.0,2
173,iPolo3,噓,龍妹嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔,09/25,2021.0,1
174,Qkirito,推,沒臉可露奶 沒奶可cosplay露腿 男可偽娘,05/18,2022.0,2
175,justboa,推,溫你媽啦 操！廢到笑,11/29,2022.0,0
176,verypower,→,只是可能偏瘦 有點排骨精的感覺,11/24,2022.0,0
177,plutox,→,有些熟店如果是店內價用優惠的確會更便宜,07/09,2022.0,0
178,BOSSHUN,推,還好沒開盤，盤中出消息跌九千點不得了,11/27,2021.0,0
179,iqqi4200,推,肥宅你醜到我了,06/13,2022.0,1
180,keyman616,→,"男生哪有只要大奶就好,龍妹一堆大奶",09/28,2021.0,1
181,willieSin,→,8+9看到對方身材就不會恐嚇說不准報警,11/12,2021.0,0
182,lupolewis,→,整天喊抗中保台 能可瘦到皮包骨也,11/22,2022.0,2
183,l42857,噓,瘦的和皮包骨一樣,06/11,2022.0,2
184,steven24205,推,零用錢而已,12/26,2021.0,0
185,b2233a44,→,都你害的 你當然說向前看,10/14,2022.0,0
186,brianuser,推,紙片人膩,01/21,2022.0,2
187,OomaybeoO,→,你覺得是龍妹 那就不要把他當異性對待,10/25,2022.0,1
188,ImBBCALL,推,但醜萌也不錯 養的肥肥的都可愛啦,03/06,2022.0,1
189,brianuser,→,其實我覺得肥宅都是吃飯胖的啦,11/23,2022.0,1
190,yuyun0724,推,反正中國韭菜割不完，只吃樹皮也要侵略,02/27,2022.0,0
191,searchmark,噓,瘦皮猴幹嘛運動,07/16,2022.0,2
192,AlenCKH,→,茶妹要面對的醜怪臭肥宅也更多，這哪有,12/10,2021.0,1
193,chean1020,→,，偏偏腦破選個心機肥婆KYT，老媽還袒,05/04,2022.0,1
194,faelone,→,唬爛吧，這肥婆憋氣七分鐘?,11/05,2022.0,1
195,WowProctor,推,:拉板凳就位了~,05/31,2011.0,0
196,louiskuo,→,國師有算到自己胖的像豬嗎,08/17,2022.0,1
197,godofaluba,推,鳥仔腳   不好看,05/05,2022.0,2
198,k5a,推,17歲刁煙的瘦皮猴 跑超快好嗎？最開始他還閃,07/02,2022.0,2
199,terry955048,→,已經夠瘦是要減什麼，想當紙片人？,01/11,2022.0,2
200,jokerming847,→,龍妹不減肥還覺得別人對不起她==,07/11,2022.0,1
201,Ponimp,推,心裡深處愛著你,02/03,2022.0,0
202,VVii,推,性向變態的胖子真的噁心 家庭教育很重要,08/20,2022.0,1
203,tina5u5205,推,只要你想就去問阿,12/15,2021.0,0
204,jemlin,→,人受害，文青消費者多花點錢買到心理充實,06/20,2022.0,0
205,Mayinggo,→,女同志真的都不太優 看右1那個沒臉沒奶,09/04,2021.0,2
206,sareed,→,矮子吧 矮又胖 那會更難看 矮子會比較注意,08/27,2021.0,1
207,eddiego,噓,4叉貓超噁心的，甲胖子又愛自拍,06/15,2022.0,1
208,yukihira,推,這種才棒 鳥仔腳提不起勁,03/02,2022.0,2
209,vking223,→,宅男肥肚=臭，噁，滾~,10/13,2021.0,1
210,lavign,推,中鳥仔腳 日O型腿 韓很假怪,08/26,2021.0,2
211,pchome321,推,電子部隊為國爭光,12/07,2021.0,0
212,fransice7,→,波多野結衣 剛出道大軟奶 後期肥大腿,09/29,2022.0,0
213,Maisie,推,一群爛咖,01/31,2022.0,0
214,aswin12000,→,又肥又醜又轉性，完全不知道美在哪,11/12,2022.0,1
215,pinhanpaul,推,肥婆吧,11/26,2022.0,1
216,olivewood,→,這個太像骷髏人了，無法,03/25,2022.0,2
217,sm3bp078,推,沒奶=沒有流量,09/17,2022.0,2
218,xhung,推,老闆不爽不要吃,02/17,2022.0,0
219,a7788783,→,肥宅肚沒有適合的防彈背心尺寸,02/27,2022.0,1
220,mow1982,→,窮人少子化買不買房，不重要,10/21,2022.0,0
221,cocaineweed,→,商標美學的問題,11/14,2022.0,0
222,JC910,→,上半身跟非洲難民一樣瘦,01/11,2022.0,2
223,hipolymer,→,年終喔～,01/16,2022.0,0
224,s130350,→,一個沒屌一個沒奶怎麼在一起,11/16,2022.0,2
225,eric2016,→,中年肥宅矮醜只能血汗高薪回收破貨,04/21,2022.0,1
226,blakespring,推,龍妹是什麼原因排最後？不好看而已,09/13,2022.0,1
227,kimfor,推,和平統一的可能性只有中國民主化，然後你,10/16,2022.0,0
228,bathilda,→,沒奶子沒屁股腿短，怎麼練？？？,08/27,2021.0,2
229,xxx5566xxx,噓,幹，奇異博士二裡面有小奶肥婆,05/06,2022.0,1
230,wind1729,推,館長瘦皮猴喔,11/15,2022.0,2
231,tommy1014,噓,肥婆在睡啦,05/06,2022.0,1
232,blue999,推,8+9爛工作沒身材沒學歷  還不是結婚生子,08/29,2021.0,2
233,XristianBale,推,正妹加分，龍妹請別穿無袖謝謝,03/21,2022.0,1
234,sugizo0,推,對了，神豬，都是處男,02/24,2014.0,1
235,sellgd,→,我也是點這麼多 老闆說:你紙片人就吃這點?,09/25,2021.0,2
236,sellgd,→,瘦排骨身材是贏過女性嗎?,10/29,2022.0,2
237,ja881213,推,最近有些女優都太瘦了 肋骨都跑出來QQ,04/18,2022.0,0
238,requan,噓,肥婆神棍，幹,06/17,2022.0,1
239,eric73923,推,瘦皮猴還跟人學流氓 笑死,09/05,2021.0,2
240,RW2010,推,台灣值得更好 不要再讓藍綠掌控了,11/11,2022.0,0
241,q34355997,推,沒茶味沒奶味代表對了 自己泡過就知道,11/01,2021.0,0
242,sheep0121,推,比腿還粗,10/18,2022.0,0
243,aq981334,→,屁股圓就行了，不要是扁的或塌的,02/01,2022.0,2
244,xuein,推,大腿很粗的，會被霸凌嗎？,10/10,2022.0,1
245,KaWaii,噓,又肥又醜,11/23,2022.0,1
246,binco,噓,肥宅那中年肥肚有臉說人家XD,08/14,2022.0,1
247,plunkett,→,是因為山豬在刮 所以你也跟著刮嗎,02/03,2022.0,0
248,jasonpig,→,所以才走到公投這步逼民進黨繼續完成,11/16,2021.0,0
249,carryton,推,有些胖子人格真的很噁心,07/14,2022.0,1
250,hcc570910,→,阿北可以告セクハラ,07/20,2022.0,0
251,noyesray,噓,回樓上 噁女龍妹摸你會爽嗎,03/29,2022.0,1
252,LtoM722,→,？？,01/27,2022.0,0
253,Beckhan,推,一定是陸客！台客才不會這樣！,04/07,2022.0,0
254,scum5566,噓,沒奶子 根本不想看,10/25,2022.0,2
255,sculp,→,她不喜歡吃東西，瘦成皮包骨，96歲才走,05/23,2022.0,2
256,dabalax,→,活在這世上沒意義了!!我要去找tai大恐龍妹安慰了.......,05/19,2021.0,1
257,cocono2,推,9樓，深綠真的很吃這種蠢操作，就如同他,08/05,2022.0,0
258,frank2002,推,可憐的瘦皮猴，拿根棒子就以為打得贏嗎,10/05,2022.0,2
259,iohan,噓,你沒奶子還不是照樣會嘴人奶小,04/22,2022.0,1
260,crimson11,噓,死龍妹肥婆,08/29,2021.0,1
261,brendani,→,是這次非缺電不是嗎,03/14,2022.0,0
262,aids893001,推,普妹龍妹都馬一堆信,01/26,2022.0,1
263,wilson3435,推,1個美女vs72個龍妹,08/31,2021.0,1
264,usxuk0130,推,摳 醜 臭 無聊 肥 大概是以上原因,11/10,2021.0,1
265,crimson11,→,不要吃 像難民那樣 不瘦也難,11/25,2021.0,2
266,rick6304,→,你自己想阿 肥婆買晚餐給你 你吃得下?,09/03,2022.0,1
267,cauliflower,→,原來你是紙片人,05/03,2022.0,2
268,mig,推,你看爬那些小百岳還是一般步道的，一堆肥肚,12/29,2021.0,1
269,cybercommand,→,內心自卑看什麼都覺不公平,02/11,2022.0,0
270,PrinceKanto,→,不可能,10/04,2022.0,0
271,onewalker,推,:司法已死,09/11,2013.0,0
272,Jade3P,推,廢物瘦皮猴以為拿著球棒就屌大 笑死人,09/05,2021.0,2
273,kaodio,→,沒奶的沒人在乎,05/04,2022.0,2
274,leafshot,推,肥婆 滾吧,03/03,2022.0,1
275,coffee112,→,一些女森都說她那麼瘦好好很骨感 呵呵,07/10,2022.0,2
276,lecheck,推,路怒症 千萬別上路 考照人間悲劇,03/05,2022.0,0
277,icou,噓,哪來的非洲難民 太瘦了吧,12/01,2022.0,2
278,musicaledio,噓,我是來看肥婆龍獸的，你貼女神幹嘛,01/05,2022.0,1
279,Broyz,推,潤，太妍這骨頭人了吧...瘦過頭,09/14,2022.0,2
280,Laurara,→,男人婆 肥婆 低薪 統統看不上眼..,09/01,2021.0,1
281,derrick1220,→,沒錢沒奶就滾,05/02,2022.0,2
282,ILoveKMT,推,小腿很粗 那種矮肥男吧,02/05,2022.0,1
283,birdy590,→,沒辦法 韓團都是十幾歲開始操練 要練到,12/15,2022.0,0
284,kairi,噓,噁心肉胖子,05/02,2022.0,1
285,LKKG,→, 你沒看有個肥婆說了一輩子還下跪,08/15,2022.0,1
286,hitomi47,推,扁奶嘔嘔嘔,10/15,2022.0,2
287,y932987,推,綠網軍真的噁心 連自己人都忍不了,05/28,2022.0,0
288,haoto,推,心機周刊不意外 難怪收一個心機肥婆,12/12,2014.0,1
289,rapnose,→,我覺得鳥仔腳比較恐怖。,03/02,2022.0,2
290,papapapa5566,噓,問a答b，這種腦子可以當防疫指揮官,11/22,2022.0,0
291,YesNoter,噓,腰好粗,07/02,2022.0,1
292,zhutou,→,上面網址是斷骨術後  那雙腳也太瘦了,07/12,2022.0,2
293,onedaymor,推,出來打球,02/07,2022.0,0
294,ru04hj4,推,沒奶就沒奶 津貼有用喔,04/13,2022.0,2
295,pizzafan,推,對呀~ 都沒有人出來負責 KMT笑呵呵!,10/16,2022.0,0
296,wolfwolf,→,19是什麼難民身材,10/20,2021.0,2
297,NCTUEE800808,推,人帥直接摸 人醜是肥宅 O.o,12/21,2021.0,1
298,Qinsect,→,哈哈，密你的是本油垢臭醜惡肥宅啦,11/06,2022.0,1
299,ssisters,推,彰化三兄弟紙片人 殘疾無法工作 疫情沒,07/04,2022.0,2
300,albertfeng,推,T大部分都很醜連肥宅都不想吃,07/29,2022.0,1
301,emega,推,你沒問龍妹 ...,04/30,2022.0,1
302,smartony,→,會不會拿到龍妹的,11/22,2022.0,1
